Regiones,Exports,Imports
Túnez,"463,558.84","10,778,184.60"
Turcas y Caicos,"183,505.01","61,371.69"
Turkmenistán,"31,920.16","2,649.48"
Turquía,"23,443,193.36","131,388,083.29"
Tuvalu,"185,728.99",0
Ucrania,"253,767.97","3,307,669.85"
Uganda,"8,904,087.60","60,791.58"
Uruguay,"10,812,295.00","18,506,194.58"
Uzbekistán,"14,836,873.44","52,730.01"
Venezuela,"21,436,518.69","3,765,266.61"
Vietnam,"178,299.77","1,406,164,302.26"
Zimbabue,0,"84,618.48"
